,logFC,AveExpr,t,P.Value,adj.P.Val,B
GeneID:1,0.236387337,2.372152373,1.179701256,0.241848383,0.794126015,-4.91676676
GeneID:10,-0.10409655,-5.519309922,-0.280378192,0.779959471,0.942597855,-5.26512445
GeneID:100,-0.034555188,5.037482982,-0.197504151,0.843967457,0.960359517,-5.784827402
GeneID:1000,0.690135506,3.842658012,1.264770544,0.209870429,0.794126015,-4.976564513
GeneID:10000,0.317471638,6.854732211,2.157482334,0.034171416,0.630595968,-3.823117498
GeneID:100008586,-0.436549198,-5.485015669,-0.778366043,0.438802583,0.842949326,-5.065648951
GeneID:100008587,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:100008588,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:100008589,0.510946316,-6.362461053,1.929402956,0.057464501,0.690855348,-3.926346611
GeneID:100009613,0.152176467,-6.587794672,0.718514552,0.474673106,0.846063027,-5.178507901
GeneID:100009676,-0.313212255,-1.430465765,-1.492942122,0.139648276,0.794126015,-4.413163457
GeneID:10001,-0.131752061,4.030198333,-1.365733862,0.17610529,0.794126015,-4.869977084
GeneID:10002,-0.396235997,-2.885891937,-1.193784841,0.236325301,0.794126015,-4.665792623
GeneID:10003,-0.6062161,0.835688317,-1.788900407,0.077669549,0.728723381,-4.110432389
GeneID:100033413,0.579624695,3.019428595,1.320945301,0.19053676,0.794126015,-4.834745798
GeneID:100033414,0.716037882,3.029783654,2.238131089,0.028181065,0.6086297,-3.47863508
GeneID:100033415,0.801506611,4.377591293,1.992899139,0.049911561,0.671947191,-3.986243133
GeneID:100033416,0.36942304,3.276180255,1.059503035,0.292771805,0.794126015,-5.126533065
GeneID:100033417,0.510869492,0.849580269,1.284818714,0.202810521,0.794126015,-4.695444296
GeneID:100033418,0.715906565,4.206506417,2.015849319,0.04739882,0.669620021,-3.936051691
GeneID:100033419,0.510869492,0.849580269,1.284818714,0.202810521,0.794126015,-4.695444296
GeneID:100033420,0.840999453,2.785018856,2.342059575,0.021834633,0.581380211,-3.279052706
GeneID:100033421,0.801506611,4.377591293,1.992899139,0.049911561,0.671947191,-3.986243133
GeneID:100033422,0.210709734,-5.123152344,0.613396515,0.541470469,0.865558376,-5.117575661
GeneID:100033423,0.647093688,-3.528861282,1.99873669,0.049261855,0.671947191,-3.840074595
GeneID:100033424,0.693958647,-0.989156534,1.842032223,0.06942432,0.714879716,-4.028007975
GeneID:100033425,0.694978744,0.88522856,2.034215855,0.045466836,0.667491388,-3.768744446
GeneID:100033426,0.629095039,3.609401316,1.81559719,0.073430155,0.720778482,-4.223540959
GeneID:100033427,0.712109136,1.631110387,2.239813539,0.028066602,0.608278841,-3.44464839
GeneID:100033428,0.853244121,4.707691247,2.392564652,0.019235857,0.568576585,-3.255000924
GeneID:100033429,0.917419271,4.487030813,2.593787415,0.011409948,0.519181272,-2.825228592
GeneID:100033430,0.710818594,4.19352947,1.818751318,0.072942282,0.720714369,-4.260112576
GeneID:100033431,0.582249551,4.787444834,1.599886699,0.113829043,0.785101009,-4.630135643
GeneID:100033432,0.337260585,4.983928153,0.863789947,0.390458017,0.815606504,-5.45958322
GeneID:100033433,0.850293545,3.615043354,2.410908668,0.018362517,0.565779435,-3.172767876
GeneID:100033434,0.885675386,3.185471165,2.412365427,0.018294703,0.565779435,-3.15585587
GeneID:100033435,0.760142855,3.777266369,2.38785341,0.019466049,0.568576585,-3.224383796
GeneID:100033436,0.732505581,-0.640756039,1.925884539,0.057909967,0.691465226,-3.92080499
GeneID:100033437,-0.076160647,-5.338529553,-0.155310843,0.876993602,0.96917808,-5.269874849
GeneID:100033438,0.785170363,1.116349435,2.302375386,0.024090569,0.597381932,-3.342046974
GeneID:100033439,0.551869847,-0.632113349,1.340673636,0.184074105,0.794126015,-4.577538575
GeneID:100033440,-0.140273692,-5.957249333,-0.352082733,0.725763826,0.925578318,-5.287118387
GeneID:100033441,1.077389362,-4.823609424,1.918215346,0.058891116,0.692395423,-3.930303379
GeneID:100033442,0.855880411,-3.30282061,1.210470355,0.229900307,0.794126015,-4.6555118
GeneID:100033443,0.665553783,-4.86061455,1.133708587,0.260528525,0.794126015,-4.767577803
GeneID:100033444,0.851212983,-6.177584389,2.637477439,0.010149902,0.513571298,-2.753078813
GeneID:100033445,0.046017121,-5.666426689,0.102884288,0.91832947,0.979162663,-5.303348049
GeneID:100033446,0.037329733,-5.737166094,0.082803241,0.934228642,0.983725022,-5.312817809
GeneID:100033447,0.778682936,-5.93664008,1.989412554,0.050303095,0.672511195,-3.833697352
GeneID:100033448,-0.108615668,-5.666951569,-0.250338199,0.80301046,0.947516545,-5.28693701
GeneID:100033449,0.037329733,-5.737166094,0.082803241,0.934228642,0.983725022,-5.312817809
GeneID:100033450,-0.260644727,-4.59407721,-0.437189533,0.66323046,0.905144836,-5.151810126
GeneID:100033451,-0.285505784,-5.672216234,-0.587103342,0.558897987,0.872506754,-5.178956141
GeneID:100033453,0.515322257,-5.686338631,1.122606076,0.265186603,0.794126015,-4.825770447
GeneID:100033454,0.035985471,-6.067272044,0.100178258,0.920470173,0.979550632,-5.340256522
GeneID:100033455,-0.254823601,-6.22089685,-0.982032933,0.329241684,0.794126015,-4.97948845
GeneID:100033456,-0.254823601,-6.22089685,-0.982032933,0.329241684,0.794126015,-4.97948845
GeneID:100033458,-0.254823601,-6.22089685,-0.982032933,0.329241684,0.794126015,-4.97948845
GeneID:100033460,0.073978373,-4.507091412,0.121394981,0.903702926,0.975242504,-5.205027143
GeneID:100033603,1.12960332,-4.867966775,1.913995853,0.059436911,0.694417473,-3.93573414
GeneID:100033799,0.664051474,-5.149759535,1.337997693,0.184940865,0.794126015,-4.59975752
GeneID:100033800,-0.03054887,-6.409208903,-0.13522255,0.892798261,0.972040425,-5.365779499
GeneID:100033801,-0.334100208,-5.461334219,-0.671771454,0.503793734,0.850934377,-5.121311727
GeneID:100033802,0.448034304,-5.26158073,0.910397527,0.365530227,0.800496316,-4.958558752
GeneID:100033803,-0.108615668,-5.666951569,-0.250338199,0.80301046,0.947516545,-5.28693701
GeneID:100033804,-0.07102068,-6.132390535,-0.214766259,0.83053259,0.955567944,-5.332472736
GeneID:100033805,0.083388827,-5.87673633,0.183210791,0.855127125,0.963754797,-5.314441408
GeneID:100033806,0.23373277,-5.436119063,0.492203567,0.624013475,0.893858244,-5.192461529
GeneID:100033807,-0.122774741,-5.823895361,-0.305879934,0.760543692,0.936359499,-5.288017213
GeneID:100033808,-0.150998068,-5.840879845,-0.340035971,0.734780148,0.928474846,-5.281515194
GeneID:100033809,0.526307892,-5.824433645,1.339747785,0.184373648,0.794126015,-4.631677805
GeneID:100033810,-0.108615668,-5.666951569,-0.250338199,0.80301046,0.947516545,-5.28693701
GeneID:100033811,0.219928374,-6.257564738,0.797771944,0.427522095,0.836967551,-5.107471391
GeneID:100033812,0.663622241,-6.10891339,1.911462851,0.059766608,0.694909073,-3.947589725
GeneID:100033813,0.510809784,-5.06846645,0.94930684,0.345514272,0.794126015,-4.91852271
GeneID:100033814,0.003031212,-5.419359393,0.006485232,0.994842793,0.998708296,-5.284495369
GeneID:100033815,0.412272899,-5.308426238,0.784133772,0.435431754,0.839894005,-5.040154932
GeneID:100033816,0.410844147,-4.543020969,0.774418482,0.441118443,0.843938603,-4.99631827
GeneID:100033817,-0.108615668,-5.666951569,-0.250338199,0.80301046,0.947516545,-5.28693701
GeneID:100033818,0.500155437,-5.261307168,1.167460366,0.246723581,0.794126015,-4.760989019
GeneID:100033819,0.180003704,-6.55554567,0.818243465,0.415810918,0.830544437,-5.115089616
GeneID:100033820,0.451894998,-2.015807971,1.349380195,0.181275211,0.794126015,-4.542241295
GeneID:100033821,0.81076594,-3.020947377,2.443688397,0.016889692,0.557074703,-3.233857576
GeneID:100033822,0.431901955,-5.769889988,1.311266063,0.193769165,0.794126015,-4.658114558
GeneID:100034743,-0.065738926,0.766891517,-0.259421164,0.796021223,0.945847001,-5.291294997
GeneID:100036563,0.200005138,-6.290546439,0.600110728,0.550241825,0.869988357,-5.21910109
GeneID:100036564,0.245835018,-5.872891366,0.588368586,0.558053038,0.872506754,-5.191864957
GeneID:100036565,-0.363977037,-6.150662152,-1.032457834,0.305176316,0.794126015,-4.935566571
GeneID:100036566,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:100036567,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:100037417,-0.168012912,3.590887439,-0.990690053,0.32502316,0.794126015,-5.214929951
GeneID:100038246,0.324085702,-6.367496749,1.116168264,0.267914254,0.794126015,-4.875348049
GeneID:10004,-0.337401971,-0.167376828,-1.184273158,0.240045377,0.794126015,-4.730984925
GeneID:100048912,-0.004465129,-1.309607018,-0.011052666,0.991210783,0.997546907,-5.176125462
GeneID:100049076,0.065449298,2.449324406,0.263798099,0.792659135,0.945158355,-5.478009777
GeneID:100049587,0.318272078,1.257405491,0.854918097,0.395319865,0.817533258,-5.080470927
GeneID:100049716,0.044344897,-5.239144915,0.142357205,0.887179687,0.971401667,-5.26139
GeneID:10005,-0.136905854,1.886850292,-0.944006749,0.348198076,0.794126015,-5.071163117
GeneID:10006,0.04741368,6.341024709,0.406476138,0.685550612,0.913443201,-5.837017662
GeneID:10007,0.031259961,3.653583014,0.234140316,0.815514168,0.950022405,-5.634966241
GeneID:100073347,0.156793819,-6.587794672,0.748364876,0.456581052,0.843938603,-5.161041184
GeneID:10008,-0.12458992,0.1268136,-0.454123948,0.651051417,0.90111111,-5.185759435
GeneID:10009,0.014172868,5.656745362,0.116763774,0.907359429,0.9763527,-5.852111164
GeneID:100093630,-0.493771374,0.26030871,-1.60543882,0.112600955,0.785007895,-4.323504707
GeneID:100093631,0.430192558,4.027722671,2.866785443,0.005379842,0.447240679,-2.203605496
GeneID:100093698,1.300452686,-4.76389777,1.953845624,0.054449364,0.683721129,-3.884126862
GeneID:1001,-0.834968988,5.651058017,-1.406716579,0.163642675,0.794126015,-4.938126278
GeneID:10010,0.271158843,6.30960093,2.575019245,0.011993472,0.521293333,-2.934281854
GeneID:100101115,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:100101116,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:100101117,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:100101118,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:100101120,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:100101121,0.246392781,-6.587794672,1.161219371,0.249236052,0.794126015,-4.848041069
GeneID:100101148,0.508289492,-3.28364433,1.512950161,0.134495972,0.794126015,-4.385943894
GeneID:100101266,-0.504841693,-0.012084615,-1.601213832,0.113534516,0.785007895,-4.321361226
GeneID:100101267,0.222171654,6.385823035,2.030350228,0.045867743,0.668721615,-4.033934312
GeneID:100101467,0.146684187,3.179291599,0.964552926,0.337869335,0.794126015,-5.195215597
GeneID:100101490,0.141567679,1.613290826,0.946864942,0.346749099,0.794126015,-5.045974029
GeneID:100101629,-0.563801076,-4.381593109,-0.789317144,0.432415482,0.838829719,-4.98501019
GeneID:100101938,-0.383694816,-6.026094748,-1.252338666,0.214338512,0.794126015,-4.734288267
GeneID:10011,0.135376211,3.572664057,1.109705086,0.270672376,0.794126015,-5.107338035
GeneID:100113378,0.32299568,-6.308198684,1.388307996,0.169154134,0.794126015,-4.607725368
GeneID:100113379,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:100113380,-0.007900323,-6.504776895,-0.03522936,0.971990467,0.993056852,-5.379813331
GeneID:100113381,-0.298588759,-1.687800209,-1.027146281,0.307653705,0.794126015,-4.801800674
GeneID:100113382,-0.352132458,-5.551274945,-1.188188432,0.238509022,0.794126015,-4.766677214
GeneID:100113384,0.098623106,-6.511518934,0.456111358,0.649628222,0.900777185,-5.296723736
GeneID:100113386,-0.230895266,-1.704609772,-0.860010289,0.392524753,0.816584268,-4.907922682
GeneID:100113389,-0.415453981,-5.025567952,-1.289034761,0.201348569,0.794126015,-4.64761179
GeneID:100113391,0.082568255,-3.372958839,0.225551734,0.82216371,0.952417068,-5.127272899
GeneID:100113392,0.308268022,-4.556997271,1.043426814,0.30010305,0.794126015,-4.825325602
GeneID:100113393,0.071479004,1.307346359,0.288435989,0.77380886,0.941565222,-5.341479184
GeneID:100113402,0.166154531,-6.504776895,0.721345402,0.472940287,0.845918633,-5.170945486
GeneID:100113403,0.194251608,-6.60980804,0.926123919,0.35735283,0.794126015,-5.043692479
GeneID:100113404,0.022702226,-6.279443276,0.089019557,0.929303706,0.982350841,-5.358691198
GeneID:100113407,0.247811621,2.137611288,1.286374037,0.202270283,0.794126015,-4.787886961
GeneID:100124412,0.814788005,-5.028320012,1.625448505,0.108263119,0.778539084,-4.291812087
GeneID:100124516,-0.18198466,-1.407937322,-0.586340617,0.559407652,0.872771988,-5.052640189
