hgnc_symbol,PFS  HR,PFS P-Value
SERPINA3,0.9091841637,0.0250
ABCA3,0.7489892869,0.0099
ABCA4,1.2946291671,0.0096
AOC1,1.1715469835,0.0458
ACTG2,1.1736917962,0.0353
ACVR2B,1.6288468066,0.0203
ACYP2,0.5681589226,0.0034
ADAM8,0.8048424083,0.0497
PARP4,0.3597059724,0.0015
ADRA2B,0.8478537319,0.0151
ADRB1,0.8471981192,0.0097
ADRBK2,1.3833827036,0.0374
AEBP1,0.7048202193,0.0169
NR0B1,0.923208448,0.0445
ALDH3A1,1.1829267149,0.0089
ALDH1A3,0.8382819008,0.0184
ABCD2,0.8635096049,0.0357
ALX3,1.7468670946,0.0172
AMPD1,0.9011541001,0.0457
AMY1B,0.8296805717,0.0310
ANGPT1,0.8322690846,0.0238
ANK2,0.7727953358,0.0498
ANXA1,0.7477523919,0.0411
APOC2,1.1524262052,0.0183
AQP7,1.1629913932,0.0451
ARL4D,1.2547423552,0.0458
ARSF,1.1358498793,0.0169
ASMT,0.7106156066,0.0334
ASNS,0.7147754065,0.0192
ATP2A3,0.7787122464,0.0192
ATP2B1,0.5876344798,0.0275
ATP2B3,1.1906852024,0.0050
ATP4B,1.2145921163,0.0488
ALDH7A1,1.49423542,0.0453
ATP5F1,1.8090800091,0.0314
ATP6V0B,1.8075046984,0.0358
KIF1A,1.1354099757,0.0148
B2M,0.7453937532,0.0428
BACH1,0.505939109,0.0082
BAI1,0.8740337884,0.0372
BCL3,0.6880306919,0.0180
BCL7A,1.5585629316,0.0029
NBEAP1,0.8238659535,0.0125
TNFRSF17,0.8360183541,0.0206
OPN1SW,0.7441106346,0.0367
BDH1,1.5828040547,0.0077
BFSP1,0.8246789712,0.0025
BLK,0.8846042942,0.0465
CXCR5,0.8383098294,0.0211
BMP7,1.105566836,0.0346
BMX,0.8093449243,0.0014
BRAF,0.4789011477,0.0236
ZFP36L2,0.6943971999,0.0374
BTG1,0.5659785777,0.0094
C4A,0.7610967901,0.0056
C4B,0.7696137579,0.0038
C5,0.7110098211,0.0250
LDLRAD4,0.7149512782,0.0308
CA4,1.1916348581,0.0193
CAMK2D,0.4453404249,0.0041
CAST,0.4068970154,0.0021
CASP4,0.6097410545,0.0356
CASP8,0.4766462546,0.0072
CASP9,0.6321427108,0.0201
RUNX1,0.6154094954,0.0073
KRIT1,0.5286915598,0.0119
CD7,0.8671764143,0.0321
