hgnc_symbol,OS P-Value,OS HR
ABCA2,0.0171,0.5358304173
ABCA3,0.0016,0.5206277887
ABCA4,0.0116,1.775337381
ABR,0.0302,0.3450267484
ACTA1,0.0054,1.6420689134
ACTG2,0.0055,1.780792766
ACVR2B,0.0376,2.2238248393
ADCYAP1,0.0075,1.6575935775
ADH1A,0.0394,1.3714603067
ADH5,0.0347,5.1399759272
PARP4,0.0018,0.1110322851
ADRB1,0.0270,0.6990535941
ADRBK2,0.0246,1.6312639547
AGER,0.0370,0.3903567555
ALDH9A1,0.0476,2.7589427978
AQP9,0.0020,2.2998795051
AVPR1A,0.0285,2.5551744505
HCN2,0.0243,0.6642624326
BFSP1,0.0024,0.5353958996
BICD1,0.0279,0.4220047298
BPI,0.0494,1.3008459162
BRCA1,0.0293,3.1900448993
C5,0.0051,0.3824356204
C21orf2,0.0388,0.5133849338
CAMK2B,0.0201,0.709711673
CAMK2D,0.0463,0.4312722183
CAPS,0.0481,0.6712093983
CBR1,0.0418,0.4517695403
CD97,0.0091,0.3881270283
CDH18,0.0073,1.1897698061
CEACAM7,0.0098,1.2833790272
CHN2,0.0273,0.6415148479
CHRM2,0.0320,1.1518780062
CHRNA4,0.0078,1.5031356443
CNGA4,0.0167,0.5171365922
CPB2,0.0161,0.6078046141
CPM,0.0130,2.379403408
CPT1B,0.0039,0.2372162179
CSE1L,0.0088,3.3575143259
CSNK1G2,0.0279,0.5121732498
CTSV,0.0006,1.6482824177
DAB2,0.0130,3.935024912
DFNA5,0.0331,2.0375434652
DLX5,0.0230,1.3546475337
ATN1,0.0084,0.2741356711
DUSP4,0.0133,0.5037588601
DYRK1A,0.0390,0.177059534
E2F6,0.0322,7.285748426
SERPINB1,0.0171,0.4025299099
ERCC5,0.0073,0.1059086557
ETFB,0.0322,0.47535055
ETV1,0.0110,0.504086993
ETV4,0.0180,0.6304916735
ETV6,0.0056,0.1558913849
EYA3,0.0409,5.4535319108
F11,0.0179,0.7093452292
FANCE,0.0120,7.6174850882
FDX1,0.0262,2.7258548828
FGF1,0.0294,0.7036290402
FOXD2,0.0051,0.6440605204
FLOT2,0.0285,0.1659399891
