"","source","BOR","NumberOfPatients","perc"
"1","Baptiste Louveau, Samia Mourah","CR",8,33.3333333333333
"2","Baptiste Louveau, Samia Mourah","PD",2,8.33333333333333
"3","Baptiste Louveau, Samia Mourah","PR",10,41.6666666666667
"4","Baptiste Louveau, Samia Mourah","SD",4,16.6666666666667
"5","Eliezer M. Van Allen, Dirk Schadendorf","CR",1,2.22222222222222
"6","Eliezer M. Van Allen, Dirk Schadendorf","PD",7,15.5555555555556
"7","Eliezer M. Van Allen, Dirk Schadendorf","PR",25,55.5555555555556
"8","Eliezer M. Van Allen, Dirk Schadendorf","SD",12,26.6666666666667
"9","Federica Catalanotti, David B. Solit","CR",8,12.1212121212121
"10","Federica Catalanotti, David B. Solit","PD",10,15.1515151515152
"11","Federica Catalanotti, David B. Solit","PR",31,46.969696969697
"12","Federica Catalanotti, David B. Solit","SD",13,19.6969696969697
"13","Federica Catalanotti, David B. Solit",NA,4,6.06060606060606
"14","Georgina V.Long, Helen Rizos","PR",4,44.4444444444444
"15","Georgina V.Long, Helen Rizos","SD",5,55.5555555555556
"16","Helen Rizos, Georgina V.Long","CR",2,8.33333333333333
"17","Helen Rizos, Georgina V.Long","PD",4,16.6666666666667
"18","Helen Rizos, Georgina V.Long","PR",13,54.1666666666667
"19","Helen Rizos, Georgina V.Long","SD",5,20.8333333333333
"20","Hugo W., Roger S. Lo","CR",4,9.09090909090909
"21","Hugo W., Roger S. Lo","PR",31,70.4545454545455
"22","Hugo W., Roger S. Lo","SD",9,20.4545454545455
"23","Lawrence N. Kwong, Lynda Chin","CR",1,4.54545454545455
"24","Lawrence N. Kwong, Lynda Chin","PR",16,72.7272727272727
"25","Lawrence N. Kwong, Lynda Chin","SD",4,18.1818181818182
"26","Lawrence N. Kwong, Lynda Chin",NA,1,4.54545454545455
"27","Pauline Blateau, Jerome Solassol","CR",3,5.66037735849057
"28","Pauline Blateau, Jerome Solassol","PD",40,75.4716981132076
"29","Pauline Blateau, Jerome Solassol","PR",5,9.43396226415094
"30","Pauline Blateau, Jerome Solassol","SD",3,5.66037735849057
"31","Pauline Blateau, Jerome Solassol",NA,2,3.77358490566038
"32","Yibing Yan, Antoni Ribas","CR",52,40
"33","Yibing Yan, Antoni Ribas","PD",78,60
