"","source","OS_statut","NumberOfPatients","perc"
"1","Baptiste Louveau, Samia Mourah","alive",13,54.1666666666667
"2","Baptiste Louveau, Samia Mourah","dead",11,45.8333333333333
"3","Eliezer M. Van Allen, Dirk Schadendorf",NA,45,100
"4","Federica Catalanotti, David B. Solit","alive",21,31.8181818181818
"5","Federica Catalanotti, David B. Solit","dead",45,68.1818181818182
"6","Georgina V.Long, Helen Rizos","alive",2,22.2222222222222
"7","Georgina V.Long, Helen Rizos","dead",7,77.7777777777778
"8","Helen Rizos, Georgina V.Long","alive",7,29.1666666666667
"9","Helen Rizos, Georgina V.Long","dead",17,70.8333333333333
"10","Hugo W., Roger S. Lo",NA,44,100
"11","Lawrence N. Kwong, Lynda Chin","alive",3,13.6363636363636
"12","Lawrence N. Kwong, Lynda Chin","dead",16,72.7272727272727
"13","Lawrence N. Kwong, Lynda Chin","lost to follow-up",3,13.6363636363636
"14","Pauline Blateau, Jerome Solassol","alive",15,28.3018867924528
"15","Pauline Blateau, Jerome Solassol","dead",37,69.811320754717
"16","Pauline Blateau, Jerome Solassol",NA,1,1.88679245283019
"17","Yibing Yan, Antoni Ribas","alive",20,15.3846153846154
"18","Yibing Yan, Antoni Ribas","dead",42,32.3076923076923
"19","Yibing Yan, Antoni Ribas",NA,68,52.3076923076923
