"","source","sex","NumberOfPatients","perc"
"1","Baptiste Louveau, Samia Mourah","female",13,54.1666666666667
"2","Baptiste Louveau, Samia Mourah","male",11,45.8333333333333
"3","Eliezer M. Van Allen, Dirk Schadendorf","female",23,51.1111111111111
"4","Eliezer M. Van Allen, Dirk Schadendorf","male",22,48.8888888888889
"5","Federica Catalanotti, David B. Solit","female",25,37.8787878787879
"6","Federica Catalanotti, David B. Solit","male",41,62.1212121212121
"7","Georgina V.Long, Helen Rizos","female",3,33.3333333333333
"8","Georgina V.Long, Helen Rizos","male",6,66.6666666666667
"9","Helen Rizos, Georgina V.Long","female",8,33.3333333333333
"10","Helen Rizos, Georgina V.Long","male",16,66.6666666666667
"11","Hugo W., Roger S. Lo","female",13,29.5454545454545
"12","Hugo W., Roger S. Lo","male",31,70.4545454545455
"13","Lawrence N. Kwong, Lynda Chin","female",10,45.4545454545455
"14","Lawrence N. Kwong, Lynda Chin","male",12,54.5454545454545
"15","Pauline Blateau, Jerome Solassol","female",25,47.1698113207547
"16","Pauline Blateau, Jerome Solassol","male",28,52.8301886792453
"17","Yibing Yan, Antoni Ribas","female",54,41.5384615384615
"18","Yibing Yan, Antoni Ribas","male",76,58.4615384615385
