,03660196C,03660356C,03660445B,03660447B,03660501B,03660502B,03660555B,03660598B,03660602B,04240076F,04240106F,04240120C,04240151B,05320003B,05320011B,05320012B,05320093C,05320100B,05320102B,05320108C,05320114C,05320119C,05320132B,05320141B,05320143B,05320146B,05320179B,05320184B,05320188B,05320191B,05320196B,05320205B,05320216B,05320217B,05320220B,05320229B,05320232B,05320234B,05320239B,05320243B,05320286B,05320302B,05320328B,05320353C,05320372C,05320381B,05320384B,05320385B,05320388B,05320393B,05320399C,05320410C,05320420B,05320424B,05320425B,05320435B,05320436B,05320444B,05320446B,05320449B,05320452B,05320459B,05420099C,05420129C,05420135C,05420138C,05420145C,05420159C,05420169C,05420180C,05420199C,05420211C,10A,12A,13A,15A,16A,19A,22A,24A,25A,2A,34A,6A,7A,9A,Pt1-baseline,Pt2-baseline,Pt3-baseline,Pt4-baseline,Pt5-baseline,Pt6-baseline,Pt8-baseline,Pt9-baseline,Pt10-baseline,Pt15-baseline,Pt16-baseline,Pt17-baseline
MIR4649,75.08087754,38.91177311,44.09815884,20.88212758,29.61040925,58.30978,16.6313472,31.15211228,8.781047723,29.16129376,30.22673822,32.51334511,52.53708383,21.94110901,52.75940286,6.946525829,88.33635874,69.80035819,28.18548009,50.72523637,30.69378338,41.27836821,18.59611175,15.42966588,34.32411803,13.97443325,3.710367898,7.814974091,30.39160511,210.8120506,19.31990832,20.82096634,5.209998916,80.13591575,48.01259851,76.22991054,33.43066366,21.10190623,10.50190562,85.0054883,36.35041924,39.79129118,8.101911094,37.71375539,18.37390488,60.57908112,75.54222482,23.29248042,43.6388136,3.890988778,6.615564415,31.41170599,13.33071483,15.10129067,13.86604782,30.01008361,25.87591606,24.94514668,11.16029808,5.517685672,57.53704695,27.87623997,0.0,96.53739706,51.17048999,41.34874728,38.40282045,66.1958567,46.30729295,11.80660401,10.81304377,16.33823997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511475.0,1344370.0,0.0,0.0,0.0,0.0
MIR5588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36,0.59,0.52,0.0,0.63,1.18,0.0,0.56,0.0,0.0,1.81,0.52,1.17,1.08,0.0,0.0,475749.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4442,0.0,0.0,0.0,0.463886208,0.0,0.0,0.0,0.169075236,0.0,0.0,0.0,0.627424721,0.0,0.238166719,0.0,0.0,0.0,0.0,0.295862018,0.544426485,0.0,0.0,0.0,0.28899579,0.0,0.134835478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.271126244,0.229376476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265483243,0.0,0.0,0.198965893,0.327843488,0.420481905,0.651507921,0.0,0.722066661,0.374055552,0.277401322,0.0,0.375042959,0.0,0.166753756,0.377446131,0.0,0.0,0.766446826,0.0,0.0,0.356168194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225807.5,0.0,0.0
MIR4635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4668,10.31292,31.05230184,29.5012073,11.10013426,10.53962659,17.60295245,20.73518611,29.93839362,30.5596647,25.32866658,19.2929693,9.00802635,6.576070356,18.92064465,36.76224723,0.0,20.56369848,46.78022713,15.85820418,13.02734803,17.57473773,0.0,59.40513496,102.3457949,21.96743554,68.65822558,34.60183091,48.92421875,6.824781498,0.0,12.59371801,24.47525839,63.89563203,42.46412833,33.78365475,10.72244895,5.523827387,16.16454902,60.46502572,20.85687526,34.76269978,46.19759883,23.28059351,16.19569063,16.4935624,71.44404477,57.43851963,16.38152469,58.78638962,14.22990182,32.37735055,9.423511797,25.13791939,11.29654991,10.06153129,15.27786075,13.32460965,19.00582604,61.93825582,79.65380819,43.17065386,15.79466635,0.0,27.13321829,44.61682878,32.4839259,14.59677028,10.27038746,0.0,26.16875002,144.5432294,15.91734855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300393.5,0.0,0.0
SNORD58A,41.64833077,29.45460318,73.07222117,20.08270445,72.77588313,55.24618923,29.2773739,17.07920002,73.07226214,24.4057597,28.0770863,134.8432252,51.42091135,88.13267843,52.4054089,30.77845291,93.07537997,108.8428836,20.43268616,29.18125958,72.04334175,139.8130084,79.41694435,57.49237795,70.00611325,91.03469181,36.16752462,98.42859675,94.75946619,20.75687883,37.869222,88.34801249,109.1418765,63.26461207,39.39495262,46.79676102,60.28053681,45.20458249,97.53453802,59.817856,169.0824806,57.00665241,46.07278296,37.69617322,97.03477596,37.59270709,96.39045579,45.08419616,37.71079145,59.65612684,109.5848788,62.82341198,73.4214755,23.31723762,28.17228762,37.94281899,57.10546992,48.37846629,48.38840172,43.74832235,132.0850469,76.54338308,0.0,96.77105274,69.25265482,38.60158834,62.45354102,82.55811461,25.15579203,34.52262022,147.5851406,41.40394332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNORD104,167.7863742,53.80171172,15.48813384,19.03673026,132.9077912,77.01291698,26.20697134,21.09847604,54.61245164,46.42477966,30.34080139,73.30281442,57.79079221,38.89560234,34.77007343,81.50590307,61.02054006,125.830148,6.69017989,102.1344085,49.60611455,124.4955585,20.25407834,36.30509618,69.82506295,103.7778114,16.62244818,137.4567109,89.14870832,281.5151691,77.99518542,29.74423763,148.3232795,58.14065239,69.10048491,81.47650357,61.54464347,44.94135705,160.3101701,30.35224215,176.8218095,31.6646042,133.5988605,37.94232361,20.57877346,38.28190672,75.54222482,32.96781844,25.44049984,28.90448806,55.72640143,74.60280173,84.81667308,27.73146105,37.3282811,41.19566022,19.2730961,26.60815646,64.69056994,46.92936866,301.4440938,67.84527137,0.0,73.73851088,14.38305665,15.68189526,88.71483016,324.4800539,768.7010629,33.20160159,130.3531069,13.92767998,0.0,0.0,0.88,0.56,0.0,1.97,1.33,1.38,1.0,0.57,1.51,0.0,0.48,0.91,0.0,78584.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNORD57,55.145475,33.18871849,21.98932582,11.22346909,37.571817,82.14711144,20.60719114,26.58942916,21.90540937,20.73692,14.70147436,132.5347581,37.52648845,12.63275973,39.87298973,8.232919502,25.49766156,33.40871845,26.43034031,98.79072252,32.51956398,24.95048034,24.6952381,29.31300358,44.02204344,103.1379047,28.03389079,37.82061535,35.07179381,116.7574434,46.59039618,26.43932234,83.2002892,54.76087936,46.23435412,37.58343767,20.4074734,26.10806416,26.74359149,8.96479726,22.28378191,31.25288949,44.82690039,31.23765598,32.07081578,49.77552884,41.79660512,29.7294337,27.44190169,23.96354993,27.67294919,42.53668519,27.03172728,11.28783343,22.69434281,19.40045809,33.31152412,50.05827415,37.41854328,69.43894483,53.08973898,50.95375319,0.0,57.41424459,62.87099242,27.77002286,21.09518227,45.28955583,42.22657365,21.94358726,110.0361849,153.7996798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR4517,1.998944146,1.093299252,0.435671838,0.78684496,0.915579376,0.891288732,0.0,0.430178766,0.45895227,0.472486785,0.693042004,0.26605985,1.26671691,0.0,1.318028912,7.503420305,0.528144889,0.0,2.007367618,0.923457582,1.507021202,2.006442202,3.085644287,0.245097696,2.780688043,0.914833119,0.0,0.703457583,0.863896392,0.0,0.289843913,0.40160996,0.0,1.559645298,1.525344405,0.250023793,0.32630204,0.924065685,0.229942511,0.194534479,0.0,0.34112151,1.071603844,0.694384449,0.541279591,1.237228335,0.0,0.322561668,2.068524426,0.450313349,0.0,0.795233063,1.349945805,0.0,0.356611236,1.933906423,1.204756749,1.224771298,0.634473975,0.94105765,1.519966017,1.590372043,0.0,0.565696286,0.800281355,0.0,1.048690304,0.975036785,0.646806362,0.28984375,7.24960071,0.433968607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79641.0,0.0,0.0,0.0,0.0,0.0,301231.0,0.0,0.0
SNORD45B,42.25936849,11.96213102,8.725709203,3.939765964,64.1808247,15.8674501,8.177256496,8.456143153,38.55522271,17.08605381,23.13393731,23.68307397,17.75901425,26.29561848,23.04561619,39.65716154,27.0320919,70.89022421,20.66033644,14.38512796,7.266247765,72.55690638,24.63913806,16.63557459,23.4260379,52.80423205,10.70258233,38.54898018,30.75957858,11.69401624,9.513820266,20.55564215,52.30747819,26.68146719,21.00302569,36.99999991,18.5164918,25.9616905,42.47135337,18.61503173,41.80563029,21.82456987,18.63043655,17.77037386,21.68167828,10.55419664,99.3622365,27.99471825,7.323265092,50.10528808,23.15173495,11.72408745,35.6737439,7.115588946,19.83963917,16.29228611,24.66527339,16.35328438,29.12101501,30.88922327,34.10646751,29.72875741,23.14642503,24.70539097,23.507983,27.05679112,35.39452861,36.5249695,17.63230581,17.41511885,21.84665472,20.76325856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
